analysis_type,policy,date,final_vs_original_non_emergency_yuan,sequential_revision_non_emergency_yuan,difference_yuan
fixed existing policy trajectory repricing,C0,2025-05-05,37870.953716782686,37870.953716782686,0.0
fixed existing policy trajectory repricing,C0,2025-05-06,32041.44188169292,32041.44188169292,0.0
fixed existing policy trajectory repricing,C0,2025-05-07,33377.52659989326,33377.52659989326,0.0
fixed existing policy trajectory repricing,C0,2025-05-08,40924.78474076961,40924.78474076961,0.0
fixed existing policy trajectory repricing,C0,2025-05-09,16575.95335724175,16575.95335724175,0.0
fixed existing policy trajectory repricing,C0,2025-05-10,14682.998077949538,14682.998077949538,0.0
fixed existing policy trajectory repricing,C0,2025-05-11,36420.558254500655,36420.558254500655,0.0
fixed existing policy trajectory repricing,C0,2025-05-12,34288.96106178204,34288.96106178204,0.0
fixed existing policy trajectory repricing,C0,2025-05-13,40320.55040223094,40320.55040223094,0.0
fixed existing policy trajectory repricing,C0,2025-05-14,40342.03250056685,40342.03250056685,0.0
fixed existing policy trajectory repricing,C0,2025-05-15,37489.01779585881,37489.01779585881,0.0
fixed existing policy trajectory repricing,C0,2025-05-16,16882.655116685895,16882.655116685895,0.0
fixed existing policy trajectory repricing,C0,2025-05-17,17175.46507820425,17175.46507820425,0.0
fixed existing policy trajectory repricing,C0,2025-05-18,39501.533118685205,39501.533118685205,0.0
fixed existing policy trajectory repricing,C0,2025-05-19,36989.58248953853,36989.58248953853,0.0
fixed existing policy trajectory repricing,C0,2025-05-20,35146.350747869845,35146.350747869845,0.0
fixed existing policy trajectory repricing,C0,2025-05-21,35014.36980915692,35014.36980915692,0.0
fixed existing policy trajectory repricing,C0,2025-05-22,36112.60370679967,36112.60370679967,0.0
fixed existing policy trajectory repricing,C0,2025-05-23,13990.690835357984,13990.690835357984,0.0
fixed existing policy trajectory repricing,C0,2025-05-24,14749.55644661676,14749.55644661676,0.0
fixed existing policy trajectory repricing,C0,2025-05-25,36738.61109482189,36738.61109482189,0.0
fixed existing policy trajectory repricing,C0,2025-05-26,37129.94270388362,37129.94270388362,0.0
fixed existing policy trajectory repricing,C0,2025-05-27,33251.60721650786,33251.60721650786,0.0
fixed existing policy trajectory repricing,C0,2025-05-28,36547.4154448182,36547.4154448182,0.0
fixed existing policy trajectory repricing,C0,2025-05-29,36029.04240646533,36029.04240646533,0.0
fixed existing policy trajectory repricing,C0,2025-05-30,14638.704510072916,14638.704510072916,0.0
fixed existing policy trajectory repricing,C0,2025-05-31,17741.419484057387,17741.419484057387,0.0
fixed existing policy trajectory repricing,C0,2025-06-01,46546.39910056213,46546.39910056213,0.0
fixed existing policy trajectory repricing,C0,2025-06-02,48653.50191359471,48653.50191359471,0.0
fixed existing policy trajectory repricing,C0,2025-06-03,44693.57174891496,44693.57174891496,0.0
fixed existing policy trajectory repricing,C0,2025-06-04,51522.83000616077,51522.83000616077,0.0
fixed existing policy trajectory repricing,C0,2025-06-05,42530.28351496518,42530.28351496518,0.0
fixed existing policy trajectory repricing,C0,2025-06-06,19532.804356479643,19532.804356479643,0.0
fixed existing policy trajectory repricing,C0,2025-06-07,19499.034078725865,19499.034078725865,0.0
fixed existing policy trajectory repricing,C0,2025-06-08,49167.60994062965,49167.60994062965,0.0
fixed existing policy trajectory repricing,C0,2025-06-09,56677.6494382245,56677.6494382245,0.0
fixed existing policy trajectory repricing,C0,2025-06-10,54001.25377667503,54001.25377667503,0.0
fixed existing policy trajectory repricing,C0,2025-06-11,57053.206940300086,57053.206940300086,0.0
fixed existing policy trajectory repricing,C0,2025-06-12,53380.35707732775,53380.35707732775,0.0
fixed existing policy trajectory repricing,C0,2025-06-13,24273.85734464679,24273.85734464679,0.0
fixed existing policy trajectory repricing,C0,2025-06-14,23682.23230007992,23682.23230007992,0.0
fixed existing policy trajectory repricing,C0,2025-06-15,47481.49739604496,47481.49739604496,0.0
fixed existing policy trajectory repricing,C0,2025-06-16,52941.84987437064,52941.84987437064,0.0
fixed existing policy trajectory repricing,C0,2025-06-17,51147.85092038311,51147.85092038311,0.0
fixed existing policy trajectory repricing,C0,2025-06-18,53874.17613234754,53874.17613234754,0.0
fixed existing policy trajectory repricing,C0,2025-06-19,48943.09551864488,48943.09551864488,0.0
fixed existing policy trajectory repricing,C0,2025-06-20,22391.74998190437,22391.74998190437,0.0
fixed existing policy trajectory repricing,C0,2025-06-21,22323.621239765653,22323.621239765653,0.0
fixed existing policy trajectory repricing,C0,2025-06-22,42728.635369153824,42728.635369153824,0.0
fixed existing policy trajectory repricing,C0,2025-06-23,50295.65241630772,50295.65241630772,0.0
fixed existing policy trajectory repricing,C0,2025-06-24,55583.74684432171,55583.74684432171,0.0
fixed existing policy trajectory repricing,C0,2025-06-25,51403.11151955784,51403.11151955784,0.0
fixed existing policy trajectory repricing,C0,2025-06-26,48389.80776113062,48389.80776113062,0.0
fixed existing policy trajectory repricing,C0,2025-06-27,22295.881944080415,22295.881944080415,0.0
fixed existing policy trajectory repricing,C0,2025-06-28,21810.66528866911,21810.66528866911,0.0
fixed existing policy trajectory repricing,C0,2025-06-29,43559.01213960851,43559.01213960851,0.0
fixed existing policy trajectory repricing,C0,2025-06-30,50203.200477327606,50203.200477327606,0.0
fixed existing policy trajectory repricing,C0,2025-07-01,44816.21591862537,44816.21591862537,0.0
fixed existing policy trajectory repricing,C0,2025-07-02,41521.824040726366,41521.824040726366,0.0
fixed existing policy trajectory repricing,C0,2025-07-03,53138.73489600359,53138.73489600359,0.0
fixed existing policy trajectory repricing,C0,2025-07-04,21616.776843379663,21616.776843379663,0.0
fixed existing policy trajectory repricing,C0,2025-07-05,19345.431305126247,19345.431305126247,0.0
fixed existing policy trajectory repricing,C0,2025-07-06,44182.25639262297,44182.25639262297,0.0
fixed existing policy trajectory repricing,C0,2025-07-07,43980.42940081144,43980.42940081144,0.0
fixed existing policy trajectory repricing,C0,2025-07-08,59983.2832907558,59983.2832907558,0.0
fixed existing policy trajectory repricing,C0,2025-07-09,55842.637729172166,55842.637729172166,0.0
fixed existing policy trajectory repricing,C0,2025-07-10,53813.97453541401,53813.97453541401,0.0
fixed existing policy trajectory repricing,C0,2025-07-11,31713.684886206607,31713.684886206607,0.0
fixed existing policy trajectory repricing,C0,2025-07-12,29809.023764281177,29809.023764281177,0.0
fixed existing policy trajectory repricing,C0,2025-07-13,57529.12551097044,57529.12551097044,0.0
fixed existing policy trajectory repricing,C0,2025-07-14,56047.94440849147,56047.94440849147,0.0
fixed existing policy trajectory repricing,C0,2025-07-15,58244.68314150627,58244.68314150627,0.0
fixed existing policy trajectory repricing,C0,2025-07-16,53924.56632354915,53924.56632354915,0.0
fixed existing policy trajectory repricing,C0,2025-07-17,49960.06288805834,49960.06288805834,0.0
fixed existing policy trajectory repricing,C0,2025-07-18,33893.45457082235,33893.45457082235,0.0
fixed existing policy trajectory repricing,C0,2025-07-19,27822.220918459545,27822.220918459545,0.0
fixed existing policy trajectory repricing,C0,2025-07-20,60983.63228388598,60983.63228388598,0.0
fixed existing policy trajectory repricing,C0,2025-07-21,65646.13113112265,65646.13113112265,0.0
fixed existing policy trajectory repricing,C0,2025-07-22,50311.61240283615,50311.61240283615,0.0
fixed existing policy trajectory repricing,C0,2025-07-23,60574.93147435247,60574.93147435247,0.0
fixed existing policy trajectory repricing,C0,2025-07-24,64832.52795218438,64832.52795218438,0.0
fixed existing policy trajectory repricing,C0,2025-07-25,28851.35348970733,28851.35348970733,0.0
fixed existing policy trajectory repricing,C0,2025-07-26,28655.91640499201,28655.91640499201,0.0
fixed existing policy trajectory repricing,C0,2025-07-27,54610.01778593768,54610.01778593768,0.0
fixed existing policy trajectory repricing,C0,2025-07-28,64649.123073396055,64649.123073396055,0.0
fixed existing policy trajectory repricing,C0,2025-07-29,51396.83824822657,51396.83824822657,0.0
fixed existing policy trajectory repricing,C0,2025-07-30,52446.33881584347,52446.33881584347,0.0
fixed existing policy trajectory repricing,C0,2025-07-31,48732.77048545865,48732.77048545865,0.0
fixed existing policy trajectory repricing,C0,2025-08-01,25286.94765606809,25286.94765606809,0.0
fixed existing policy trajectory repricing,C0,2025-08-02,33460.18547327862,33460.18547327862,0.0
fixed existing policy trajectory repricing,C0,2025-08-03,40218.31207591001,40218.31207591001,0.0
fixed existing policy trajectory repricing,C0,2025-08-04,56522.42901317756,56522.42901317756,0.0
fixed existing policy trajectory repricing,C0,2025-08-05,53291.809115575554,53291.809115575554,0.0
fixed existing policy trajectory repricing,C0,2025-08-06,60446.60624025652,60446.60624025652,0.0
fixed existing policy trajectory repricing,C0,2025-08-07,51025.00861843423,51025.00861843423,0.0
fixed existing policy trajectory repricing,C0,2025-08-08,28807.1307803457,28807.1307803457,0.0
fixed existing policy trajectory repricing,C0,2025-08-09,23228.2908754936,23228.2908754936,0.0
fixed existing policy trajectory repricing,C0,2025-08-10,47046.24390711069,47046.24390711069,0.0
fixed existing policy trajectory repricing,C0,2025-08-11,46161.90740401747,46161.90740401747,0.0
fixed existing policy trajectory repricing,C0,2025-08-12,53719.37114837465,53719.37114837465,0.0
fixed existing policy trajectory repricing,C0,2025-08-13,52329.08909764124,52329.08909764124,0.0
fixed existing policy trajectory repricing,C0,2025-08-14,54507.08890216184,54507.08890216184,0.0
fixed existing policy trajectory repricing,C0,2025-08-15,24996.10341752964,24996.10341752964,0.0
fixed existing policy trajectory repricing,C0,2025-08-16,26642.256021860336,26642.256021860336,0.0
fixed existing policy trajectory repricing,C0,2025-08-17,47136.08953104028,47136.08953104028,0.0
fixed existing policy trajectory repricing,C0,2025-08-18,49150.93463476831,49150.93463476831,0.0
fixed existing policy trajectory repricing,C0,2025-08-19,54693.43334346171,54693.43334346171,0.0
fixed existing policy trajectory repricing,C0,2025-08-20,58981.784468055375,58981.784468055375,0.0
fixed existing policy trajectory repricing,C0,2025-08-21,46945.99697046703,46945.99697046703,0.0
fixed existing policy trajectory repricing,C0,2025-08-22,23701.13637088696,23701.13637088696,0.0
fixed existing policy trajectory repricing,C0,2025-08-23,28598.71408488488,28598.71408488488,0.0
fixed existing policy trajectory repricing,C0,2025-08-24,43781.49244894737,43781.49244894737,0.0
fixed existing policy trajectory repricing,C0,2025-08-25,63689.49144305718,63689.49144305718,0.0
fixed existing policy trajectory repricing,C0,2025-08-26,47655.87298840178,47655.87298840178,0.0
fixed existing policy trajectory repricing,C0,2025-08-27,55017.216643511936,55017.216643511936,0.0
fixed existing policy trajectory repricing,C0,2025-08-28,43578.89269731073,43578.89269731073,0.0
fixed existing policy trajectory repricing,C0,2025-08-29,28438.044188751097,28438.044188751097,0.0
fixed existing policy trajectory repricing,C0,2025-08-30,26109.04837136662,26109.04837136662,0.0
fixed existing policy trajectory repricing,C0,2025-08-31,45569.35210408721,45569.35210408721,0.0
fixed existing policy trajectory repricing,C0,2025-09-01,51119.21672499864,51119.21672499864,0.0
fixed existing policy trajectory repricing,C0,2025-09-02,45187.15225967256,45187.15225967256,0.0
fixed existing policy trajectory repricing,C0,2025-09-03,50593.0918057975,50593.0918057975,0.0
fixed existing policy trajectory repricing,C0,2025-09-04,49805.305450196334,49805.305450196334,0.0
fixed existing policy trajectory repricing,C0,2025-09-05,23759.3582686917,23759.3582686917,0.0
fixed existing policy trajectory repricing,C0,2025-09-06,22096.89709392083,22096.89709392083,0.0
fixed existing policy trajectory repricing,C0,2025-09-07,40656.43195166429,40656.43195166429,0.0
fixed existing policy trajectory repricing,C0,2025-09-08,35941.1325021411,35941.1325021411,0.0
fixed existing policy trajectory repricing,C0,2025-09-09,33900.05235739174,33900.05235739174,0.0
fixed existing policy trajectory repricing,C0,2025-09-10,39923.47418054946,39923.47418054946,0.0
fixed existing policy trajectory repricing,C0,2025-09-11,37567.49388164285,37567.49388164285,0.0
fixed existing policy trajectory repricing,C0,2025-09-12,16683.530997158578,16683.530997158578,0.0
fixed existing policy trajectory repricing,C0,2025-09-13,15532.687558964106,15532.687558964106,0.0
fixed existing policy trajectory repricing,C0,2025-09-14,41290.83358471726,41290.83358471726,0.0
fixed existing policy trajectory repricing,C0,2025-09-15,38322.75786100347,38322.75786100347,0.0
fixed existing policy trajectory repricing,C0,2025-09-16,42529.208506117895,42529.208506117895,0.0
fixed existing policy trajectory repricing,C0,2025-09-17,42554.69270077296,42554.69270077296,0.0
fixed existing policy trajectory repricing,C0,2025-09-18,36441.70311669439,36441.70311669439,0.0
fixed existing policy trajectory repricing,C0,2025-09-19,17234.558088907143,17234.558088907143,0.0
fixed existing policy trajectory repricing,C0,2025-09-20,18084.37263877981,18084.37263877981,0.0
fixed existing policy trajectory repricing,C0,2025-09-21,39910.41924898275,39910.41924898275,0.0
fixed existing policy trajectory repricing,C0,2025-09-22,45470.77604218972,45470.77604218972,0.0
fixed existing policy trajectory repricing,C0,2025-09-23,43435.736744260175,43435.736744260175,0.0
fixed existing policy trajectory repricing,C0,2025-09-24,39924.4417399597,39924.4417399597,0.0
fixed existing policy trajectory repricing,C0,2025-09-25,42866.69744849525,42866.69744849525,0.0
fixed existing policy trajectory repricing,C0,2025-09-26,17983.3437112404,17983.3437112404,0.0
fixed existing policy trajectory repricing,C0,2025-09-27,18484.71840029896,18484.71840029896,0.0
fixed existing policy trajectory repricing,C0,2025-09-28,42069.17539820329,42069.17539820329,0.0
fixed existing policy trajectory repricing,C0,2025-09-29,44743.29411521005,44743.29411521005,0.0
fixed existing policy trajectory repricing,C0,2025-09-30,44659.61067275391,44659.61067275391,0.0
fixed existing policy trajectory repricing,C0,2025-10-01,37875.408230885536,37875.408230885536,0.0
fixed existing policy trajectory repricing,C0,2025-10-02,46053.22606404673,46053.22606404673,0.0
fixed existing policy trajectory repricing,C0,2025-10-03,16588.11935426297,16588.11935426297,0.0
fixed existing policy trajectory repricing,C0,2025-10-04,17577.439734352592,17577.439734352592,0.0
fixed existing policy trajectory repricing,C0,2025-10-05,44632.74997610879,44632.74997610879,0.0
fixed existing policy trajectory repricing,C0,2025-10-06,38565.11890119659,38565.11890119659,0.0
fixed existing policy trajectory repricing,C0,2025-10-07,40291.13781105023,40291.13781105023,0.0
fixed existing policy trajectory repricing,C0,2025-10-08,36232.15275663861,36232.15275663861,0.0
fixed existing policy trajectory repricing,C0,2025-10-09,42871.545290092894,42871.545290092894,0.0
fixed existing policy trajectory repricing,C0,2025-10-10,17555.937042696747,17555.937042696747,0.0
fixed existing policy trajectory repricing,C0,2025-10-11,16628.04754334457,16628.04754334457,0.0
fixed existing policy trajectory repricing,C0,2025-10-12,39489.91614468375,39489.91614468375,0.0
fixed existing policy trajectory repricing,C0,2025-10-13,43643.0810342174,43643.0810342174,0.0
fixed existing policy trajectory repricing,C0,2025-10-14,44558.86787486762,44558.86787486762,0.0
fixed existing policy trajectory repricing,C0,2025-10-15,45127.70902329384,45127.70902329384,0.0
fixed existing policy trajectory repricing,C0,2025-10-16,41888.931540963895,41888.931540963895,0.0
fixed existing policy trajectory repricing,C0,2025-10-17,16404.296874995784,16404.296874995784,0.0
fixed existing policy trajectory repricing,C0,2025-10-18,17992.851653427562,17992.851653427562,0.0
fixed existing policy trajectory repricing,C0,2025-10-19,41352.838886508565,41352.838886508565,0.0
fixed existing policy trajectory repricing,C0,2025-10-20,47751.29997755513,47751.29997755513,0.0
fixed existing policy trajectory repricing,C0,2025-10-21,48419.62323383481,48419.62323383481,0.0
fixed existing policy trajectory repricing,C0,2025-10-22,43358.351935551626,43358.351935551626,0.0
fixed existing policy trajectory repricing,C0,2025-10-23,51905.62897491608,51905.62897491608,0.0
fixed existing policy trajectory repricing,C0,2025-10-24,18034.656806597653,18034.656806597653,0.0
fixed existing policy trajectory repricing,C0,2025-10-25,17892.335414162244,17892.335414162244,0.0
fixed existing policy trajectory repricing,C0,2025-10-26,46903.8251799547,46903.8251799547,0.0
fixed existing policy trajectory repricing,C0,2025-10-27,44247.98013230713,44247.98013230713,0.0
fixed existing policy trajectory repricing,C0,2025-10-28,42693.14193213329,42693.14193213329,0.0
fixed existing policy trajectory repricing,C0,2025-10-29,50921.98254055373,50921.98254055373,0.0
fixed existing policy trajectory repricing,C0,2025-10-30,43288.45560652974,43288.45560652974,0.0
fixed existing policy trajectory repricing,C0,2025-10-31,21031.514129901927,21031.514129901927,0.0
fixed existing policy trajectory repricing,C0,2025-11-01,18405.65558717203,18405.65558717203,0.0
fixed existing policy trajectory repricing,C0,2025-11-02,47816.30125089139,47816.30125089139,0.0
fixed existing policy trajectory repricing,C0,2025-11-03,52953.128624233526,52953.128624233526,0.0
fixed existing policy trajectory repricing,C0,2025-11-04,47821.91021997254,47821.91021997254,0.0
fixed existing policy trajectory repricing,C0,2025-11-05,52662.938682748616,52662.938682748616,0.0
fixed existing policy trajectory repricing,C0,2025-11-06,51509.98163857825,51509.98163857825,0.0
fixed existing policy trajectory repricing,C0,2025-11-07,19184.574969469508,19184.574969469508,0.0
fixed existing policy trajectory repricing,C0,2025-11-08,20102.22046011194,20102.22046011194,0.0
fixed existing policy trajectory repricing,C0,2025-11-09,50356.62987836234,50356.62987836234,0.0
fixed existing policy trajectory repricing,C0,2025-11-10,52184.38071944797,52184.38071944797,0.0
fixed existing policy trajectory repricing,C0,2025-11-11,53507.470995899006,53507.470995899006,0.0
fixed existing policy trajectory repricing,C0,2025-11-12,54132.76952711521,54132.76952711521,0.0
fixed existing policy trajectory repricing,C0,2025-11-13,48402.648443310834,48402.648443310834,0.0
fixed existing policy trajectory repricing,C0,2025-11-14,20238.380069327788,20238.380069327788,0.0
fixed existing policy trajectory repricing,C0,2025-11-15,20676.14326673184,20676.14326673184,0.0
fixed existing policy trajectory repricing,C0,2025-11-16,53190.66309030313,53190.66309030313,0.0
fixed existing policy trajectory repricing,C0,2025-11-17,47427.92556003127,47427.92556003127,0.0
fixed existing policy trajectory repricing,C0,2025-11-18,50966.4824002797,50966.4824002797,0.0
fixed existing policy trajectory repricing,C0,2025-11-19,52083.30167415121,52083.30167415121,0.0
fixed existing policy trajectory repricing,C0,2025-11-20,51270.349677366255,51270.349677366255,0.0
fixed existing policy trajectory repricing,C0,2025-11-21,19950.92277189041,19950.92277189041,0.0
fixed existing policy trajectory repricing,C0,2025-11-22,23735.35313548719,23735.35313548719,0.0
fixed existing policy trajectory repricing,C0,2025-11-23,52744.29807971922,52744.29807971922,0.0
fixed existing policy trajectory repricing,C0,2025-11-24,49879.56352207822,49879.56352207822,0.0
fixed existing policy trajectory repricing,C0,2025-11-25,58176.18030051698,58176.18030051698,0.0
fixed existing policy trajectory repricing,C0,2025-11-26,55570.41995064452,55570.41995064452,0.0
fixed existing policy trajectory repricing,C0,2025-11-27,52868.75579909303,52868.75579909303,0.0
fixed existing policy trajectory repricing,C0,2025-11-28,19899.983427383788,19899.983427383788,0.0
fixed existing policy trajectory repricing,C0,2025-11-29,25645.50067103177,25645.50067103177,0.0
fixed existing policy trajectory repricing,C0,2025-11-30,54175.84984426938,54175.84984426938,0.0
fixed existing policy trajectory repricing,C0,2025-12-01,57681.66787531746,57681.66787531746,0.0
fixed existing policy trajectory repricing,C0,2025-12-02,59284.405817282095,59284.405817282095,0.0
fixed existing policy trajectory repricing,C0,2025-12-03,53265.61282572215,53265.61282572215,0.0
fixed existing policy trajectory repricing,C0,2025-12-04,58827.71677930398,58827.71677930398,0.0
fixed existing policy trajectory repricing,C0,2025-12-05,23409.580718929177,23409.580718929177,0.0
